ID;Tour;Patients;Date;Debut;Duree
612;Tour4;2;26/09/2018;20;5
613;Tour1;21;27/09/2018;5;5
614;Tour2;21;27/09/2018;10;5
615;Tour3;21;27/09/2018;15;5
616;Tour4;12;27/09/2018;20;5
617;Tour1;21;28/09/2018;5;5
618;Tour2;21;28/09/2018;10;5
619;Tour3;21;28/09/2018;15;5
620;Tour4;8;28/09/2018;20;5
621;Tour1;21;29/09/2018;5;5
622;Tour2;21;29/09/2018;10;5
623;Tour3;20;29/09/2018;15;5
624;Tour4;0;29/09/2018;20;5
625;Tour1;21;01/10/2018;5;5
626;Tour2;21;01/10/2018;10;5
627;Tour3;21;01/10/2018;15;5
628;Tour4;12;01/10/2018;20;5
629;Tour1;21;02/10/2018;5;5
630;Tour2;21;02/10/2018;10;5
631;Tour3;21;02/10/2018;15;5
632;Tour4;5;02/10/2018;20;5
633;Tour1;21;03/10/2018;5;5
634;Tour2;21;03/10/2018;10;5
635;Tour3;21;03/10/2018;15;5
636;Tour4;1;03/10/2018;20;5
637;Tour1;21;04/10/2018;5;5
638;Tour2;21;04/10/2018;10;5
639;Tour3;21;04/10/2018;15;5
640;Tour4;7;04/10/2018;20;5
641;Tour1;21;05/10/2018;5;5
642;Tour2;21;05/10/2018;10;5
643;Tour3;21;05/10/2018;15;5
644;Tour4;6;05/10/2018;20;5
645;Tour1;21;06/10/2018;5;5
646;Tour2;21;06/10/2018;10;5
647;Tour3;21;06/10/2018;15;5
648;Tour4;3;06/10/2018;20;5
649;Tour1;21;08/10/2018;5;5
650;Tour2;21;08/10/2018;10;5
651;Tour3;21;08/10/2018;15;5
652;Tour4;6;08/10/2018;20;5
653;Tour1;21;09/10/2018;5;5
654;Tour2;21;09/10/2018;10;5
655;Tour3;21;09/10/2018;15;5
656;Tour4;6;09/10/2018;20;5
657;Tour1;21;10/10/2018;5;5
658;Tour2;21;10/10/2018;10;5
659;Tour3;20;10/10/2018;15;5
660;Tour4;0;10/10/2018;20;5
661;Tour1;21;11/10/2018;5;5
662;Tour2;21;11/10/2018;10;5
663;Tour3;21;11/10/2018;15;5
664;Tour4;5;11/10/2018;20;5
665;Tour1;21;12/10/2018;5;5
666;Tour2;21;12/10/2018;10;5
667;Tour3;21;12/10/2018;15;5
668;Tour4;9;12/10/2018;20;5
669;Tour1;21;13/10/2018;5;5
670;Tour2;21;13/10/2018;10;5
671;Tour3;21;13/10/2018;15;5
672;Tour4;2;13/10/2018;20;5
673;Tour1;21;15/10/2018;5;5
674;Tour2;21;15/10/2018;10;5
675;Tour3;21;15/10/2018;15;5
676;Tour4;12;15/10/2018;20;5
677;Tour1;21;16/10/2018;5;5
678;Tour2;21;16/10/2018;10;5
679;Tour3;21;16/10/2018;15;5
680;Tour4;1;16/10/2018;20;5
681;Tour1;21;17/10/2018;5;5
682;Tour2;21;17/10/2018;10;5
683;Tour3;20;17/10/2018;15;5
684;Tour4;0;17/10/2018;20;5
685;Tour1;21;18/10/2018;5;5
686;Tour2;21;18/10/2018;10;5
687;Tour3;21;18/10/2018;15;5
688;Tour4;7;18/10/2018;20;5
689;Tour1;21;19/10/2018;5;5
690;Tour2;21;19/10/2018;10;5
691;Tour3;21;19/10/2018;15;5
692;Tour4;3;19/10/2018;20;5
693;Tour1;21;20/10/2018;5;5
694;Tour2;21;20/10/2018;10;5
695;Tour3;21;20/10/2018;15;5
696;Tour4;4;20/10/2018;20;5
