Date,seance_effective,nb_patient,preference_matin,preference_soir,seance_theorique,seance_aleatoire,nb_seance_par_patient,duree_cycle,duree_repos,duree_seance
2018-04-01,410,205,131.0,74.0,410,0,2,1,24,5
2018-04-08,408,204,130.0,74.0,408,0,2,1,24,5
2018-04-15,416,208,131.0,77.0,416,0,2,1,24,5
2018-04-22,408,204,131.0,73.0,408,0,2,1,24,5
2018-04-29,408,204,131.0,73.0,408,0,2,1,24,5
2018-05-06,394,197,130.0,67.0,394,0,2,1,24,5
2018-05-13,402,201,129.0,72.0,402,0,2,1,24,5
2018-05-20,403,201,129.0,72.0,402,1,2,1,24,5
2018-05-27,399,199,129.0,70.0,398,1,2,1,24,5
2018-06-03,398,199,129.0,70.0,398,0,2,1,24,5
2018-06-10,399,199,130.0,69.0,398,1,2,1,24,5
2018-06-17,402,201,131.0,70.0,402,0,2,1,24,5
2018-06-24,406,203,131.0,72.0,406,0,2,1,24,5
2018-07-01,285,142,103.0,39.0,284,1,2,1,24,5
2018-07-08,414,207,131.0,76.0,414,0,2,1,24,5
2018-07-22,411,205,131.0,74.0,410,1,2,1,24,5
2018-07-29,418,209,132.0,77.0,418,0,2,1,24,5
2018-08-05,422,211,132.0,79.0,422,0,2,1,24,5
2018-08-12,412,206,131.0,75.0,412,0,2,1,24,5
2018-08-19,419,209,132.0,77.0,418,1,2,1,24,5
2018-08-26,411,205,131.0,74.0,410,1,2,1,24,5
2018-09-02,409,204,131.0,73.0,408,1,2,1,24,5
2018-09-09,426,213,133.0,80.0,426,0,2,1,24,5
2018-09-16,506,253,156.0,97.0,506,0,2,1,24,5
2018-09-23,353,176,110.0,66.0,352,1,2,1,24,5
2018-09-30,419,209,132.0,77.0,418,1,2,1,24,5
2018-10-07,412,206,131.0,75.0,412,0,2,1,24,5
2018-10-14,405,202,130.0,72.0,404,1,2,1,24,5
2018-10-21,404,202,130.0,72.0,404,0,2,1,24,5
2018-10-28,406,203,130.0,73.0,406,0,2,1,24,5
2018-11-04,405,202,130.0,72.0,404,1,2,1,24,5
2018-11-11,403,201,130.0,71.0,402,1,2,1,24,5
2018-11-18,410,205,131.0,74.0,410,0,2,1,24,5
2018-11-25,418,209,132.0,77.0,418,0,2,1,24,5
2018-12-02,410,205,130.0,75.0,410,0,2,1,24,5
2018-12-09,407,203,130.0,73.0,406,1,2,1,24,5
2018-12-16,480,240,153.0,87.0,480,0,2,1,24,5
2018-12-23,410,205,130.0,75.0,410,0,2,1,24,5
2018-12-30,332,166,107.0,59.0,332,0,2,1,24,5
2019-01-06,400,200,129.0,71.0,400,0,2,1,24,5
2019-01-13,414,207,131.0,76.0,414,0,2,1,24,5
2019-01-20,809,404,260.0,144.0,808,1,2,1,24,5
2019-02-03,394,197,129.0,68.0,394,0,2,1,24,5
2019-02-10,411,205,131.0,74.0,410,1,2,1,24,5
2019-02-17,405,202,130.0,72.0,404,1,2,1,24,5
2019-02-24,395,197,129.0,68.0,394,1,2,1,24,5
2019-03-03,407,203,130.0,73.0,406,1,2,1,24,5
2019-03-10,399,199,129.0,70.0,398,1,2,1,24,5
