uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:8b885711fbee4e39af8e1cad7511e326,Dv11,0.01,1.0,4587,4492,4597,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:5f2a9f86607d444c97f6a9dafd8abff0,phm:4533d20aa8bf4881ba9735e249f8eecb
dev:8b94cf4accd44c44ae196720ea4b520a,Dv15,0.01,1.0,5444,5344,5454,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:81586ee27eca4d7c9443e8ab466ae264,phm:5b24a80750a441a5a6a0eac82edf3c1f
dev:8b9747cb29b146dc96b5e0282b3aa9f8,Dv3,0.01,1.0,299,204,304,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:7e43f6fd0cb44b5aab46018313d4a443,phm:a77286573dae49e8aacdc19320881206
dev:8b9d266db2364a4094b5b4008182dbb9,Dv6,0.01,1.0,796,596,816,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e487ec4634c74b4aac915cf0d9a17213,phm:65aa521103be45d48f6c01a00187e8e0
dev:8b9fd0f33ae547949bf7b89e66ac55fd,Dv3,0.01,1.0,4252,4152,4262,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:a9da8293594a48d7bb34aa6e522ba3f6,phm:f1f548ff67634bb19aec1fd428717453
dev:8ba006381c0f4cd9a650932a30eaeb90,Dv2,0.01,1.0,420,320,425,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:547ec309e8624a3aa1951a6ec57e1e3e,phm:6a78b038207a41b58edef7d4e78c2438
dev:8ba98d5b21634f6fb44780b7ad444811,Dv1,0.01,1.0,0,41520,100,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:f5ec2324ec234fdfa80670ed2e778f52,phm:40e1c96d3322479f8b898863aeebe601
dev:8bb9d435f12a463b8a44dde028ec3ab8,Dv10,0.01,1.0,0,6540,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:42078bb59df1409680721e487b6c1210,phm:a2c8b6df67f9487f8c286f53675ed458
dev:8bbe2cea9e8d4855bad2597bf8de310e,Dv10,0.01,1.0,0,5776,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:282ba8de02514423b3e78223c98f6f35,phm:e5a7268fe4de44cf86b419914157a6f3
dev:8bbe3508bd5249cf9ee8f109611a7fc0,Dv11,0.01,1.0,139,44,144,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:d59c71634faf43a5840df5fcd40e93ea,phm:47ce40c433f3487f9d61a91842752125
dev:8bcdbd96d7a44eaebf29ada588fc5150,Dv9,0.01,1.0,694,604,704,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:16ce96d2406c4e8f873623731108cbd3,phm:0cf8718888134387abe86b63c61009c4
dev:8bcf333f864345ba883dbfaefcfddc33,Dv6,0.01,1.0,4612,4412,4632,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:6b297de1297b4d488fd28a4b8ad6df03,phm:9083ec57a51e44f19033e4238df0b6ef
dev:8bd22c318a4c438aa1250930bf7e79a8,Dv6,0.01,1.0,5212,5012,5232,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:1a58995e611340c5bf0c68b223032a99,phm:4ace3605db3f4bca8ab3e10958c2d93f
dev:8bd8f5787cc64d8aaa9c60067e718e26,Dv12,0.01,1.0,5606,5516,5621,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:bcddf11614564882adae232590cc39e9,phm:23afc2f6d74049bea9f30bf81a2a26b6
dev:8bd90a07e38f4e0ba9eb4bcca962aa21,Dv14,0.01,1.0,1675,1580,1685,R14,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:b31f947a366340a0af6dff3dce9313c8,phm:35352926f72d4badb4fe2a69dbc8d2fb
dev:8bdd35c12ace4314aa9e88598ad83449,Dv2,0.01,1.0,1646,1556,1661,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:9efa6e58a79745d7bb4cee4c89613cc8,phm:82d99f6f82a54bcabc0331439592b06b
dev:8be64f385ee44760ae90800b6bc04b47,Dv6,0.01,1.0,6672,6472,6692,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:088dfd1ce96f4b6cb349cc87666b5f25,phm:70e1015f126f42f7bd73eaa509064e86
