2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([515.0, 517.0], 0) for (mo014, 5, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([289, 297.0], 0) for (mo015, 0, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([297.0, 306.0], 0) for (mo015, 1, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([306.0, 310.0], 0) for (mo015, 2, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([310.0, 317.0], 0) for (mo015, 3, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([317.0, 325.0], 0) for (mo015, 4, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo015) create task: ([325.0, 327.0], 0) for (mo015, 5, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([69, 77.0], 0) for (mo016, 0, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([77.0, 80.0], 0) for (mo016, 1, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([80.0, 89.0], 0) for (mo016, 2, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([89.0, 97.0], 0) for (mo016, 3, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([97.0, 106.0], 0) for (mo016, 4, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([106.0, 113.0], 0) for (mo016, 5, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo016) create task: ([113.0, 119.0], 0) for (mo016, 6, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo017) create task: ([31, 35.0], 0) for (mo017, 0, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo017) create task: ([35.0, 36.0], 0) for (mo017, 1, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo017) create task: ([36.0, 39.0], 0) for (mo017, 2, Comp3)
2024-12-29 06:10:50,973 - INFO - at 0:: CustomerAgent(mo017) create task: ([39.0, 45.0], 0) for (mo017, 3, Comp3)
2024-12-29 06:10:50,973 - INFO - at 0:: CustomerAgent(mo017) create task: ([45.0, 53.0], 0) for (mo017, 4, Comp1)
2024-12-29 06:10:50,974 - INFO - at 0:: CustomerAgent(mo017) create task: ([53.0, 54.0], 0) for (mo017, 5, Comp3)
2024-12-29 06:10:50,974 - INFO - at 0:: CustomerAgent(mo017) create task: ([54.0, 60.0], 0) for (mo017, 6, Comp2)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([409, 411.0], 0) for (mo018, 0, Comp2)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([411.0, 413.0], 0) for (mo018, 1, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([413.0, 415.0], 0) for (mo018, 2, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([415.0, 424.0], 0) for (mo018, 3, Comp2)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([424.0, 426.0], 0) for (mo018, 4, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo018) create task: ([426.0, 435.0], 0) for (mo018, 5, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([455, 462.0], 0) for (mo019, 0, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([462.0, 469.0], 0) for (mo019, 1, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([469.0, 474.0], 0) for (mo019, 2, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([474.0, 479.0], 0) for (mo019, 3, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([479.0, 482.0], 0) for (mo019, 4, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([482.0, 490.0], 0) for (mo019, 5, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo019) create task: ([490.0, 492.0], 0) for (mo019, 6, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([295, 301.0], 0) for (mo020, 0, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([301.0, 305.0], 0) for (mo020, 1, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([305.0, 314.0], 0) for (mo020, 2, Comp2)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([314.0, 320.0], 0) for (mo020, 3, Comp3)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([320.0, 322.0], 0) for (mo020, 4, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([322.0, 331.0], 0) for (mo020, 5, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([331.0, 332.0], 0) for (mo020, 6, Comp1)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([332.0, 341.0], 0) for (mo020, 7, Comp2)
2024-12-29 06:10:50,975 - INFO - at 0:: CustomerAgent(mo020) create task: ([341.0, 345.0], 0) for (mo020, 8, Comp1)
2024-12-29 06:10:51,002 - INFO - at 0:: ProducerAgent(ma1) plan ([213, 220.0], ma1) for (mo001, 0, Comp2)
2024-12-29 06:10:51,003 - INFO - at 0:: ProducerAgent(ma1) plan ([223.0, 228.0], ma1) for (mo001, 2, Comp2)
2024-12-29 06:10:51,011 - INFO - at 0:: ProducerAgent(ma1) plan ([228.0, 229.5], ma1) for (mo001, 3, Comp1)
